grind,dose,target_ratio,target_output,real_output,real_ratio,preinfusion,brew,total_time,ratio_diff,avg_flow_rate
15,16.9,1.8,30.42,31.5,1.863905325,12,27,39,0.03550295858,1.166666667
15,17.8,1.8,32.04,31.8,1.786516854,12,36,48,-0.007490636704,0.8833333333
15,17.4,1.8,31.32,33.2,1.908045977,10,40,50,0.06002554278,0.83
15,17.7,1.8,31.86,32.4,1.830508475,11,41,52,0.01694915254,0.7902439024
15,18.3,1.8,32.94,32.3,1.765027322,10,48,58,-0.01942926533,0.6729166667
15,18,1.8,32.4,31.7,1.761111111,12,49,61,-0.02160493827,0.6469387755
15,17.5,1.8,31.5,31.8,1.817142857,12,29,41,0.009523809524,1.096551724
15,17.7,1.8,31.86,31.8,1.796610169,11,35,46,-0.001883239171,0.9085714286
15,17.1,1.8,30.78,30.6,1.789473684,12,30,42,-0.005847953216,1.02
15,16.9,1.8,30.42,30.8,1.822485207,11,37,48,0.01249178172,0.8324324324
15,16.5,1.8,29.7,28.7,1.739393939,11,29,40,-0.03367003367,0.9896551724
15,16.9,1.8,30.42,30.4,1.798816568,11,29,40,-0.0006574621959,1.048275862
16,18.1,1.8,32.58,32.2,1.779005525,14,20,34,-0.0116635973,1.61
